ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756090800250000000,113231.57,,0.00584,,113231.57,,
1756090800300000000,113231.57,,0.00584,,113231.57,,
1756090800350000000,113231.58,,0.01752,,113231.58,,
1756090800400000000,113231.58,,0.01752,,113231.58,,
1756090800450000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800500000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800550000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800600000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800650000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800700000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800750000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800800000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800850000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800900000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090800950000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801000000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801050000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801100000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801150000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801200000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801250000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801300000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801350000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801400000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801450000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801500000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801550000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801600000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801650000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801700000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801750000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801800000000,113231.58,113452.08,0.01752,0.00028,113341.83,220.5,113448.611461
1756090801850000000,113231.59,113452.08,0.02,0.00028,113341.835,220.49,113449.035759
1756090801900000000,113231.59,113452.08,0.02,0.00028,113341.835,220.49,113449.035759
1756090801950000000,113231.6,113452.08,0.01752,0.00028,113341.84,220.48,113448.611775
1756090802000000000,113231.6,113452.08,0.01752,0.00028,113341.84,220.48,113448.611775
1756090802050000000,113231.6,113452.08,0.01752,0.00028,113341.84,220.48,113448.611775
