ts_ns,price,qty,side
1756089515369000000,113476.91,0.00026,B
1756089730731000000,113470.39,0.00044,B
1756090089935000000,113461.44,0.00019,B
1756090089935000000,113461.44,0.00188,B
1756090160131000000,113459.75,0.00053,B
1756090160131000000,113459.76,0.00081,B
1756090160498000000,113459.74,0.00141,B
1756090249360000000,113233.03,0.00021,A
1756090249360000000,113233.02,0.00023,A
1756090358829000000,113455.32,0.00035,B
1756090400463000000,113454.83,9e-05,B
1756090430431000000,113454.13,0.00044,B
1756090590427000000,113454.74,0.00044,B
1756090745353000000,113452.48,9e-05,B
1756090777929000000,113452.31,0.00048,B
1756090798431000000,113231.54,0.00705,A
1756090865330000000,113450.97,0.00441,B
1756090916266000000,113449.7,0.00026,B
1756090925384000000,113449.55,0.00088,B
1756090942258000000,113449.12,0.00022,B
1756090970517000000,113448.44,0.00088,B
1756091030384000000,113447.16,0.00022,B
1756091135376000000,113454.83,9e-05,B
1756091165389000000,113454.83,9e-05,B
1756091165848000000,113454.83,0.00035,B
1756091405114000000,113454.83,0.00053,B
1756091405114000000,113528.39,9e-05,B
1756091465292000000,113528.39,1e-05,B
1756091465292000000,113543.14,0.00021,B
1756091615295000000,113543.01,4e-05,B
1756091743631000000,113539.6,0.00014,B
1756091964796000000,113275.35,1e-05,A
1756092065298000000,113539.57,0.0044,B
1756092215326000000,113540.71,0.00661,B
1756092417828000000,113535.62,5e-05,B
1756092491396000000,113225.39,0.01068,A
1756092843186000000,113225.37,1e-05,A
1756092865333000000,113225.31,1e-05,A
